observation,period_start,period_end,concept,value,unit,literal_state,territory_version,population_universe,reference_time,source,locator
observation:dg1c:nl-paping-population-1800,1800,1800,population,2120000,persons,,territory-version:netherlands:paping-current-territory:1800-1849:retrospective,source-defined-unresolved,,source:paping-2014-dutch-population,"Appendix D, physical PDF p.29, total Dutch population column; exact row/cell: Appendix D row 1800, total Dutch population column"
observation:dg1c:nl-paping-population-1810,1810,1810,population,2206000,persons,,territory-version:netherlands:paping-current-territory:1800-1849:retrospective,source-defined-unresolved,,source:paping-2014-dutch-population,"Appendix D, physical PDF p.29, total Dutch population column; exact row/cell: Appendix D row 1810, total Dutch population column"
observation:dg1c:nl-paping-population-1820,1820,1820,population,2353000,persons,,territory-version:netherlands:paping-current-territory:1800-1849:retrospective,source-defined-unresolved,,source:paping-2014-dutch-population,"Appendix D, physical PDF p.29, total Dutch population column; exact row/cell: Appendix D row 1820, total Dutch population column"
observation:dg1c:nl-paping-population-1830,1830,1830,population,2636000,persons,,territory-version:netherlands:paping-current-territory:1800-1849:retrospective,source-defined-unresolved,,source:paping-2014-dutch-population,"Appendix D, physical PDF p.29, total Dutch population column; exact row/cell: Appendix D row 1830, total Dutch population column"
observation:dg1c:nl-paping-population-1840,1840,1840,population,2878000,persons,,territory-version:netherlands:paping-current-territory:1800-1849:retrospective,source-defined-unresolved,,source:paping-2014-dutch-population,"Appendix D, physical PDF p.29, total Dutch population column; exact row/cell: Appendix D row 1840, total Dutch population column"
observation:dg1c:nl-paping-population-1849,1849,1849,population,3057000,persons,,territory-version:netherlands:paping-current-territory:1800-1849:retrospective,source-defined-unresolved,,source:paping-2014-dutch-population,"Appendix D, physical PDF p.29, total Dutch population column; exact row/cell: Appendix D row 1849, total Dutch population column"
