observation,period_start,period_end,concept,value,unit,literal_state,territory_version,population_universe,reference_time,source,locator
observation:dg1c:nl-cbs-population-1820,1820-01-01,1820-01-01,population,2354000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1820, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1821,1821-01-01,1821-01-01,population,2378000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1821, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1822,1822-01-01,1822-01-01,population,2411000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1822, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1823,1823-01-01,1823-01-01,population,2442000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1823, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1824,1824-01-01,1824-01-01,population,2475000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1824, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1825,1825-01-01,1825-01-01,population,2515000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1825, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1826,1826-01-01,1826-01-01,population,2550000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1826, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1827,1827-01-01,1827-01-01,population,2566000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1827, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1828,1828-01-01,1828-01-01,population,2580000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1828, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1829,1829-01-01,1829-01-01,population,2608000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1829, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1830,1830-01-01,1830-01-01,population,2626000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1830, column 1 Inwoners"
