"record_id","admission_date_raw","indexed_end_date_raw","admission_date","indexed_end_date","elapsed_days","geography","population_boundary","elapsed_unit"
"smdswhr_862_86250","18050118","18050604","1805-01-18","1805-06-04","137","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_916_91630","18050119","18050527","1805-01-19","1805-05-27","128","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_971_97140","18050121","18050129","1805-01-21","1805-01-29","8","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_887_88782","18050122","18050129","1805-01-22","1805-01-29","7","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_939_94005","18050122","18050201","1805-01-22","1805-02-01","10","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_939_94006","18050122","18050201","1805-01-22","1805-02-01","10","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_971_97141","18050122","18050901","1805-01-22","1805-09-01","222","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_900_90067","18050123","18050326","1805-01-23","1805-03-26","62","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_708_70843","18050124","18171009","1805-01-24","1817-10-09","4641","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_935_93579","18050124","18050212","1805-01-24","1805-02-12","19","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_935_93580","18050124","18050124","1805-01-24","1805-01-24","0","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_966_96707","18050124","18050626","1805-01-24","1805-06-26","153","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_966_96708","18050124","18050211","1805-01-24","1805-02-11","18","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_893_89345","18050125","18050413","1805-01-25","1805-04-13","78","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_852_85219","18050126","18050325","1805-01-26","1805-03-25","58","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_900_90068","18050126","18050308","1805-01-26","1805-03-08","41","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_909_90956","18050126","18050126","1805-01-26","1805-01-26","0","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_909_90957","18050126","18050126","1805-01-26","1805-01-26","0","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_919_91981","18050126","18050311","1805-01-26","1805-03-11","44","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_966_96709","18050126","18050828","1805-01-26","1805-08-28","214","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_887_88783","18050129","18050524","1805-01-29","1805-05-24","115","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_909_90958","18050129","18050417","1805-01-29","1805-04-17","78","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_971_97142","18050129","18050214","1805-01-29","1805-02-14","16","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_909_90959","18050130","18050225","1805-01-30","1805-02-25","26","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_919_91982","18050130","18061114","1805-01-30","1806-11-14","653","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_919_91983","18050130","18050626","1805-01-30","1805-06-26","147","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_966_96710","18050131","18050204","1805-01-31","1805-02-04","4","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_967_96711","18050131","18050204","1805-01-31","1805-02-04","4","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_909_90960","18050201","18070915","1805-02-01","1807-09-15","956","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_967_96712","18050201","18050415","1805-02-01","1805-04-15","73","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_967_96713","18050201","18050302","1805-02-01","1805-03-02","29","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_967_96714","18050201","18060206","1805-02-01","1806-02-06","370","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_916_91631","18050202","18050221","1805-02-02","1805-02-21","19","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_967_96715","18050202","18050726","1805-02-02","1805-07-26","174","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_946_94650","18050203","18050214","1805-02-03","1805-02-14","11","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_884_88432","18050205","18050211","1805-02-05","1805-02-11","6","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_924_92437","18050206","18050223","1805-02-06","1805-02-23","17","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_941_94207","18050206","18050212","1805-02-06","1805-02-12","6","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
