observation,period_start,period_end,concept,value,unit,literal_state,territory_version,population_universe,reference_time,source,locator
observation:dg1c:bel-population-quetelet-1830-royaume-cities-subtotal,1830-01-01,1830-01-01,population,998118,persons,,territory-version:belgium:quetelet-population-1830:statistical,source-defined-unresolved,,source:quetelet-1832-population-belgium,"printed p.5 / PDF p.15, national table and footnote; exact row/cell: Royaume / population des villes"
observation:dg1c:bel-population-quetelet-1830-royaume-rural-communes-subtotal,1830-01-01,1830-01-01,population,3066091,persons,,territory-version:belgium:quetelet-population-1830:statistical,source-defined-unresolved,,source:quetelet-1832-population-belgium,"printed p.5 / PDF p.15, national table and footnote; exact row/cell: Royaume / population des communes rurales"
observation:dg1c:bel-population-quetelet-1830-royaume-total-author-corrected,1830-01-01,1830-01-01,population,4074712,persons,,territory-version:belgium:quetelet-population-1830:statistical,source-defined-unresolved,,source:quetelet-1832-population-belgium,"printed p.5 / PDF p.15, national table and footnote; exact row/cell: footnote 1 / Il faudrait plutot 4,074,712 ames"
observation:dg1c:bel-population-quetelet-1830-royaume-total-printed,1830-01-01,1830-01-01,population,4064209,persons,,territory-version:belgium:quetelet-population-1830:statistical,source-defined-unresolved,,source:quetelet-1832-population-belgium,"printed p.5 / PDF p.15, national table and footnote; exact row/cell: Royaume / population totale"
