observation,period_start,period_end,concept,value,unit,literal_state,territory_version,population_universe,reference_time,source,locator
observation:dg1c:nl-cbs-population-1840,1840-01-01,1840-01-01,population,2874000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1840, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1841,1841-01-01,1841-01-01,population,2908000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1841, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1842,1842-01-01,1842-01-01,population,2944000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1842, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1843,1843-01-01,1843-01-01,population,2970000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1843, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1844,1844-01-01,1844-01-01,population,3002000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1844, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1845,1845-01-01,1845-01-01,population,3034000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1845, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1846,1846-01-01,1846-01-01,population,3068000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1846, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1847,1847-01-01,1847-01-01,population,3078000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1847, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1848,1848-01-01,1848-01-01,population,3071000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1848, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1849,1849-01-01,1849-01-01,population,3074000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1849, column 1 Inwoners"
