observation,period_start,period_end,concept,value,unit,literal_state,territory_version,population_universe,reference_time,source,locator
observation:dg1c:nl-cbs-population-1850,1850-01-01,1850-01-01,population,3084000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1850, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1851,1851-01-01,1851-01-01,population,3118000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1851, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1852,1852-01-01,1852-01-01,population,3153000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1852, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1853,1853-01-01,1853-01-01,population,3186000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1853, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1854,1854-01-01,1854-01-01,population,3209000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1854, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1855,1855-01-01,1855-01-01,population,3233000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1855, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1856,1856-01-01,1856-01-01,population,3243000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1856, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1857,1857-01-01,1857-01-01,population,3269000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1857, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1858,1858-01-01,1858-01-01,population,3291000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1858, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1859,1859-01-01,1859-01-01,population,3303000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1859, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1860,1860-01-01,1860-01-01,population,3312000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1860, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1861,1861-01-01,1861-01-01,population,3329000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1861, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1862,1862-01-01,1862-01-01,population,3356000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1862, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1863,1863-01-01,1863-01-01,population,3382000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1863, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1864,1864-01-01,1864-01-01,population,3418000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1864, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1865,1865-01-01,1865-01-01,population,3448000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1865, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1866,1866-01-01,1866-01-01,population,3478000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1866, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1867,1867-01-01,1867-01-01,population,3495000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1867, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1868,1868-01-01,1868-01-01,population,3530000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1868, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1869,1869-01-01,1869-01-01,population,3560000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1869, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1870,1870-01-01,1870-01-01,population,3595000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1870, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1871,1871-01-01,1871-01-01,population,3629000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1871, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1872,1872-01-01,1872-01-01,population,3648000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1872, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1873,1873-01-01,1873-01-01,population,3682000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1873, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1874,1874-01-01,1874-01-01,population,3724000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1874, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1875,1875-01-01,1875-01-01,population,3772000,persons,,territory-version:netherlands:cbs-table2:1840-1875:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1875, column 1 Inwoners"
