observation,period_start,period_end,concept,value,unit,literal_state,territory_version,population_universe,reference_time,source,locator
observation:dg1c:bel-births-annuaire-1840-1873-le-royaume-total-1840,1840,1840,live-birth,138142,events,,territory-version:belgium:annuaire-births-1840-1873:statistical,source-defined-unresolved,,source:belgium-statbel-annuaire-1874,printed p.39 / PDF p.41; exact row/cell: Le royaume / Total / 1840
observation:dg1c:bel-births-annuaire-1840-1873-le-royaume-total-1841-1850-average,1841,1850,live-birth,129968,events,,territory-version:belgium:annuaire-births-1840-1873:statistical,source-defined-unresolved,,source:belgium-statbel-annuaire-1874,printed p.39 / PDF p.41; exact row/cell: Le royaume / Total / Moyenne de 1841 a 1850
observation:dg1c:bel-births-annuaire-1840-1873-le-royaume-total-1851-1860-average,1851,1860,live-birth,137119,events,,territory-version:belgium:annuaire-births-1840-1873:statistical,source-defined-unresolved,,source:belgium-statbel-annuaire-1874,printed p.39 / PDF p.41; exact row/cell: Le royaume / Total / Moyenne de 1851 a 1860
observation:dg1c:bel-births-annuaire-1840-1873-le-royaume-total-1861-1870-average,1861,1870,live-birth,155513,events,,territory-version:belgium:annuaire-births-1840-1873:statistical,source-defined-unresolved,,source:belgium-statbel-annuaire-1874,printed p.39 / PDF p.41; exact row/cell: Le royaume / Total / Moyenne de 1861 a 1870
observation:dg1c:bel-births-annuaire-1840-1873-le-royaume-total-1865,1865,1865,live-birth,156323,events,,territory-version:belgium:annuaire-births-1840-1873:statistical,source-defined-unresolved,,source:belgium-statbel-annuaire-1874,printed p.39 / PDF p.41; exact row/cell: Le royaume / Total / 1865
observation:dg1c:bel-births-annuaire-1840-1873-le-royaume-total-1870,1870,1870,live-birth,164572,events,,territory-version:belgium:annuaire-births-1840-1873:statistical,source-defined-unresolved,,source:belgium-statbel-annuaire-1874,printed p.39 / PDF p.41; exact row/cell: Le royaume / Total / 1870
observation:dg1c:bel-births-annuaire-1840-1873-le-royaume-total-1871,1871,1871,live-birth,158760,events,,territory-version:belgium:annuaire-births-1840-1873:statistical,source-defined-unresolved,,source:belgium-statbel-annuaire-1874,printed p.39 / PDF p.41; exact row/cell: Le royaume / Total / 1871
observation:dg1c:bel-births-annuaire-1840-1873-le-royaume-total-1872,1872,1872,live-birth,167377,events,,territory-version:belgium:annuaire-births-1840-1873:statistical,source-defined-unresolved,,source:belgium-statbel-annuaire-1874,printed p.39 / PDF p.41; exact row/cell: Le royaume / Total / 1872
observation:dg1c:bel-births-annuaire-1840-1873-le-royaume-total-1873,1873,1873,live-birth,170708,events,,territory-version:belgium:annuaire-births-1840-1873:statistical,source-defined-unresolved,,source:belgium-statbel-annuaire-1874,printed p.39 / PDF p.41; exact row/cell: Le royaume / Total / 1873
