record_id,source_id,period_start,period_end,geography,quantity_definition,value,unit,status,calculation,source_locator,notes
raw-closing-stock-packages-1823,source:hansard-1833-raw-cotton-stocks,1823,1823,Great Britain,raw cotton closing stock,385800,packages,source-reported,none,HC Deb 22 April 1833 vol 17 c423 table,opening comparator for 1824; package mass and cotton mix not supplied
raw-home-packages-1824,source:hansard-1833-raw-cotton-stocks,1824,1824,Great Britain,raw cotton packages taken for home consumption,639100,packages-per-year,source-reported,none,HC Deb 22 April 1833 vol 17 c423 table,package mass and cotton mix not supplied
raw-closing-stock-packages-1824,source:hansard-1833-raw-cotton-stocks,1824,1824,Great Britain,raw cotton closing stock,235360,packages,source-reported,none,HC Deb 22 April 1833 vol 17 c423 table,package mass and cotton mix not supplied
raw-home-packages-1825,source:hansard-1833-raw-cotton-stocks,1825,1825,Great Britain,raw cotton packages taken for home consumption,565430,packages-per-year,source-reported,none,HC Deb 22 April 1833 vol 17 c423 table,package mass and cotton mix not supplied
raw-closing-stock-packages-1825,source:hansard-1833-raw-cotton-stocks,1825,1825,Great Britain,raw cotton closing stock,415660,packages,source-reported,none,HC Deb 22 April 1833 vol 17 c423 table,package mass and cotton mix not supplied
raw-home-packages-1826,source:hansard-1833-raw-cotton-stocks,1826,1826,Great Britain,raw cotton packages taken for home consumption,559660,packages-per-year,source-reported,none,HC Deb 22 April 1833 vol 17 c423 table,package mass and cotton mix not supplied
raw-closing-stock-packages-1826,source:hansard-1833-raw-cotton-stocks,1826,1826,Great Britain,raw cotton closing stock,342500,packages,source-reported,none,HC Deb 22 April 1833 vol 17 c423 table,package mass and cotton mix not supplied
