observation,period_start,period_end,concept,value,unit,literal_state,territory_version,population_universe,reference_time,source,locator
observation:dg1c:nl-cbs-population-1831,1831-01-01,1831-01-01,population,2721000,persons,,territory-version:netherlands:cbs-table2:1831-1839:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1831, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1832,1832-01-01,1832-01-01,population,2813000,persons,,territory-version:netherlands:cbs-table2:1831-1839:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1832, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1833,1833-01-01,1833-01-01,population,2899000,persons,,territory-version:netherlands:cbs-table2:1831-1839:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1833, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1834,1834-01-01,1834-01-01,population,2996000,persons,,territory-version:netherlands:cbs-table2:1831-1839:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1834, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1835,1835-01-01,1835-01-01,population,3092000,persons,,territory-version:netherlands:cbs-table2:1831-1839:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1835, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1836,1836-01-01,1836-01-01,population,3191000,persons,,territory-version:netherlands:cbs-table2:1831-1839:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1836, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1837,1837-01-01,1837-01-01,population,3292000,persons,,territory-version:netherlands:cbs-table2:1831-1839:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1837, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1838,1838-01-01,1838-01-01,population,3394000,persons,,territory-version:netherlands:cbs-table2:1831-1839:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1838, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1839,1839-01-01,1839-01-01,population,3500000,persons,,territory-version:netherlands:cbs-table2:1831-1839:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1839, column 1 Inwoners"
