sourceRow,A,A_state,B,B_state,C,C_state,D,D_state,E,E_state,F,F_state,G,G_state,H,H_state,I,I_state,J,J_state,K,K_state,L,L_state,M,M_state,N,N_state,O,O_state,P,P_state,Q,Q_state,R,R_state,S,S_state,T,T_state,U,U_state,V,V_state,W,W_state,X,X_state,Y,Y_state,Z,Z_state,AA,AA_state,AB,AB_state,AC,AC_state,AD,AD_state,AE,AE_state,AF,AF_state,AG,AG_state,AH,AH_state,AI,AI_state,AJ,AJ_state,AK,AK_state,AL,AL_state,AM,AM_state,AN,AN_state,AO,AO_state,AP,AP_state,AQ,AQ_state,AR,AR_state,AS,AS_state,AT,AT_state,AU,AU_state,AV,AV_state,AW,AW_state,AX,AX_state,AY,AY_state,AZ,AZ_state,BA,BA_state,BB,BB_state,BC,BC_state,BD,BD_state,BE,BE_state,BF,BF_state,BG,BG_state,BH,BH_state,BI,BI_state,BJ,BJ_state,BK,BK_state,BL,BL_state,BM,BM_state,BN,BN_state,BO,BO_state,BP,BP_state,BQ,BQ_state,BR,BR_state,BS,BS_state,BT,BT_state,BU,BU_state,BV,BV_state,BW,BW_state,BX,BX_state,BY,BY_state,BZ,BZ_state,CA,CA_state,CB,CB_state,CC,CC_state,CD,CD_state,CE,CE_state,CF,CF_state,CG,CG_state,CH,CH_state,CI,CI_state,CJ,CJ_state,CK,CK_state,CL,CL_state,CM,CM_state,CN,CN_state,CO,CO_state,CP,CP_state,CQ,CQ_state,CR,CR_state,CS,CS_state,CT,CT_state,CU,CU_state,CV,CV_state,CW,CW_state,CX,CX_state,CY,CY_state,CZ,CZ_state,DA,DA_state,DB,DB_state,DC,DC_state,DD,DD_state,DE,DE_state,DF,DF_state,DG,DG_state,DH,DH_state,DI,DI_state,DJ,DJ_state,DK,DK_state,DL,DL_state,DM,DM_state,DN,DN_state,DO,DO_state,DP,DP_state,DQ,DQ_state,DR,DR_state,DS,DS_state,DT,DT_state,DU,DU_state,DV,DV_state,DW,DW_state,DX,DX_state,DY,DY_state,DZ,DZ_state,EA,EA_state,EB,EB_state,EC,EC_state,ED,ED_state,EE,EE_state,EF,EF_state,EG,EG_state,EH,EH_state,EI,EI_state,EJ,EJ_state,EK,EK_state,EL,EL_state,EM,EM_state,EN,EN_state,EO,EO_state,EP,EP_state,EQ,EQ_state,ER,ER_state,ES,ES_state,ET,ET_state,EU,EU_state,EV,EV_state,EW,EW_state,EX,EX_state,EY,EY_state,EZ,EZ_state,FA,FA_state,FB,FB_state,FC,FC_state
25,,   PRIVATE HOUSEHOLDS WITH EMPLOYED PERSONS,,P,,blank,59.35702910086456,,68.0767248950526,,76.65816736943053,,81.62625579051179,,79.04802011176675,,70.8464141686528,,73.64978419275342,,70.8914228453657,,72.67397066708891,,72.58251920810814,,79.78036306306342,,78.99979211676524,,78.90258154402107,,77.01543364838327,,78.45947242654633,,77.65982923785984,,84.48902060274855,,90.20629229435913,,93.219039460329,,93.26702413298386,,98.51281320101339,,97.25611467216109,,100.17258502240554,,101.03262288893684,,106.69023964702367,,111.03626703231136,,113.29281396979984,,103.73268058422168,,107.96483953461497,,122.98408859325396,,127.55827718019555,,135.18441597839208,,138.20427580870063,,141.3866468013225,,141.51718217498453,,144.11116144228978,,148.41413162361337,,162.89877926101835,,186.46818492611746,,183.80928061428943,,183.48382147744852,,186.82240786361444,,188.46317892098062,,186.60582956038658,,188.38751964176203,,197.95204043729353,,201.25826187483554,,200.06937135111923,,213.09668523497115,,208.38748650197138,,216.90016915876794,,221.96412408053908,,224.68242464229394,,225.71837529678362,,234.47272743113388,,238.9350920912587,,238.2519858629929,,238.2119114624339,,228.0641215575514,,230.06279838993936,,234.9330072396441,,229.80484432612758,,238.65278659744212,,233.61426322315066,,234.33972321752913,,240.13076398277713,,241.9284924471629,,248.2431326387346,,249.8645330599142,,248.39064469073435,,248.26016264219967,,264.3565055275905,,266.90562361321616,,261.16902893766064,,275.9450450713925,,279.4063405178358,,271.7820340617843,,268.54302724551343,,261.62976484619685,,,blank,,blank,,blank,,blank,,blank,436.96978290799643,,815.2725628635941,,885.4604616297709,,867.1660550625621,,1000.1384546693549,,1196.4590375664338,,1192.8013396623735,,1378.6839587545555,,1724.5503803149102,,1964.1737127096299,,2469.0055766817177,,2724.839287066111,,2411.1615588129002,,2102.3636079794956,,1787.113005851821,,1627.57658236888,,1545.3174055220377,,1627.1781446183227,,1826.2039762416562,,1768.8763881790485,,1614.2252684144403,,1561.7155330846992,,1582.072681653197,,1670.8839492564034,,1700.2296219590585,,1877.384190764487,,2472.076747311141,,3817.9145596289213,,4053.11099504716,,4378.487209981784,,4485.7354080889545,,4577.2544134856,,5027.183973884256,,5056.356065829313,,4956,,4996.07649042002,,5005.335851528869,,5343.157088307971,,5576.449396698156,,5457.040435648555,,5420.999384404911,,5438.997833751761,,8110,,9174,,9851,,11062,,12530,,13755,,14963,,16399,,17730,,16516,,17309,,18103,,21706,,25857,,25670,,27922,,31920,,35444,,38143,,40830,,42191,,43714,,45501,,47304,,49496,,50667,,50564,,50584,,50661,,51633,
26,,   EXTRA-TERRITORIAL ORGANIZATION AND BODIES,,Q,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
27,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
28,,TOTAL VALUE ADDED,,tVA,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
29,,NET INDIRECT TAXES,,iTAX,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
30,,TOTAL GDP,,GDP,,blank,1496.530774414731,,1665.1526306980895,,1744.6888211232117,,1770.3928319191027,,1851.9935228266736,,1842.9733577905083,,1863.184138118105,,1791.1088621164688,,1744.2839119552698,,1726.6124510668103,,1795.6730612309348,,1922.2907346814343,,2182.1841934664594,,1842.7549873810167,,1854.8824294616643,,1877.3081368190979,,1925.0351928432087,,2058.3526085005205,,2338.6298198724103,,2758.422230043292,,2851.3411744163795,,3057.7865261038082,,2986.428229953819,,2863.1924916147227,,2873.2160092970084,,3154.5456402759182,,3212.253154860892,,3274.955416490291,,3326.982498339906,,3553.275964363671,,3611.4155250157996,,3896.738820924868,,3894.840106506741,,4052.479083643391,,4255.077816111629,,4518.980512773583,,4664.125886404035,,5585.691244261518,,5974.788186613347,,5791.151247675389,,5204.981034794232,,5073.817241522671,,5083.4169514644545,,4998.7009315382265,,4896.124726113331,,5451.670608552963,,5512.748749271571,,5568.027122964976,,5500.074884497839,,5049.432309461782,,4925.756207693246,,4766.180595951705,,5041.73848839769,,5146.136798062948,,5388.417748637416,,5587.050666545611,,5540.403322062591,,5366.1190385106165,,5349.661528820263,,5210.059716521282,,5334.312164771869,,5435.035072809547,,5730.720809420356,,5778.265772341035,,6091.436613513599,,6328.970307159834,,6127.252098358124,,6258.8082738493795,,6442.475869420605,,6656.8328035417935,,6883.68362151347,,7329.4234781316545,,7655.000568576767,,7290.1777415860215,,7312.521685749077,,7735.108175538628,,7984.995226999849,,8402.65480165666,,8647.446067183248,,,blank,,blank,,blank,,blank,,blank,,blank,28518.85921277743,,28480.632420517533,,29126.700612238696,,35221.87216042219,,42557.84427444949,,44716.55620676836,,55235.21490189992,,70110.25267036581,,79721.4567860227,,89484.65352126441,,90645.23740693557,,82336.78322807243,,70724.01182110178,,68935.51359804395,,66675.46759877128,,65362.04866312105,,71496.47262924876,,85638.00281326784,,83018.09465186713,,81957.5457407248,,,blank,,blank,,blank,,blank,,blank,,blank,215198.7007465352,,261754.46488131993,,331220.79733129265,,322539.18062999286,,337527.54604202945,,394747.03451742174,,402089.7462108158,,412357,,426845.07649042003,,454066.33585152886,,482319.15708830795,,514972.44939669815,,514675.0404356485,,531443.9993844049,,568543.9978337518,,604632,,644517,,698511,,778356,,847506,,917000,,978054,,1040807,,1145968,,1286626,,1417448,,1588045,,1813335,,2123424,,2343449,,2688133,,2910990,,3133679,,3328919,,3613097,,3744989,,4098377,,4345857,,4652462,,5009229,,5303832,,5523472,,5860411,,6347934,,6760830,
31,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
32,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
33,,blank,,ID,,blank,1835,,1836,,1837,,1838,,1839,,1840,,1841,,1842,,1843,,1844,,1845,,1846,,1847,,1848,,1849,,1850,,1851,,1852,,1853,,1854,,1855,,1856,,1857,,1858,,1859,,1860,,1861,,1862,,1863,,1864,,1865,,1866,,1867,,1868,,1869,,1870,,1871,,1872,,1873,,1874,,1875,,1876,,1877,,1878,,1879,,1880,,1881,,1882,,1883,,1884,,1885,,1886,,1887,,1888,,1889,,1890,,1891,,1892,,1893,,1894,,1895,,1896,,1897,,1898,,1899,,1900,,1901,,1902,,1903,,1904,,1905,,1906,,1907,,1908,,1909,,1910,,1911,,1912,,1913,,1914,,1915,,1916,,1917,,1918,,1919,,1920,,1921,,1922,,1923,,1924,,1925,,1926,,1927,,1928,,1929,,1930,,1931,,1932,,1933,,1934,,1935,,1936,,1937,,1938,,1939,,1940,,1941,,1942,,1943,,1944,,1945,,1946,,1947,,1948,,1949,,1950,,1951,,1952,,1953,,1954,,1955,,1956,,1957,,1958,,1959,,1960,,1961,,1962,,1963,,1964,,1965,,1966,,1967,,1968,,1969,,1970,,1971,,1972,,1973,,1974,,1975,,1976,,1977,,1978,,1979,,1980,,1981,,1982,,1983,,1984,,1985,,1986,,1987,,1988,,1989,,1990,
34,,"AGRICULTURE, HUNTING, FORESTRY AND FISHING",,A; B,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
35,,"   AGRICULTURE, HUNTING AND FORESTRY",,A,,blank,307.92403006378186,,321.96118305341633,,326.9289883026494,,347.6892296112905,,384.832961652326,,398.2225610793728,,399.9777472068702,,401.398100818835,,402.5154347675363,,382.9366688273579,,393.0964820411331,,465.63138893117207,,682.6101903856927,,410.3991508828041,,422.4238586839323,,377.5474266058263,,393.329657450087,,433.7111087405454,,501.0337422713247,,696.1815062621117,,629.016021480814,,686.2683890222421,,610.507137181673,,522.811808964165,,459.9456357435112,,580.6285621885596,,595.2230814332669,,627.1162214776625,,620.1271945224113,,582.9432325938996,,546.4923963477057,,594.8573656077846,,666.8391126367057,,782.0826649302112,,617.5527678434378,,665.6841388774487,,658.480378372696,,732.5896144436916,,668.1351629354856,,820.5567681090292,,629.677666218165,,725.7941755747443,,739.7218116927287,,635.8084847095278,,636.7506331676695,,685.5894147247883,,708.1971489720387,,704.3117967040716,,681.3587226899167,,600.2856442153562,,584.890007559111,,585.0457791237478,,575.7359372409467,,571.8024529514503,,614.1293678356019,,612.4556424723497,,647.1212398920944,,628.8847954107067,,633.5227077196037,,590.1921211663554,,580.7788903049436,,547.2327071367587,,635.0194957357998,,619.664912175979,,582.4045315156676,,635.3244546619936,,649.4999675372643,,676.4318120863867,,668.8207804521827,,701.3795142104127,,730.2763154053989,,747.027851205562,,772.5694985516095,,775.4679497924315,,763.682717900102,,824.9950610812621,,822.2685205534311,,792.3981575399775,,786.7541478226963,,,blank,,blank,,blank,,blank,,blank,3908.291,,5229.79,,4481.172,,3425.773,,5122.781,,5693.543,,5636.241,,7050.822,,7646.451,,8630.007,,9044.307,,7965.761,,6549.718,,5937.427,,6018.956,,5075.808,,2520.063,,2209.102,,6344.281,,6636.141,,6691.263,,,blank,,blank,,blank,,blank,,blank,17000,,22392,,21486,,25057,,27251,,25042,,28753,,27752,,31918,,31560,,32858,,32032,,35810,,34335,,35502,,36516,,40103,,38347,,40941,,42985,,45381,,43495,,44719,,48146,,52759,,45997,,48808,,63025,,68585,,58082,,68208,,76131,,68355,,76032,,77007,,79390,,88171,,97799,,109688,,112316,,112176,,114203,,108314,,113323,,139294,,124326,
36,,      Agriculture,1,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
37,,      Forestry,2,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
38,,   FISHING,,B,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
39,,TOTAL INDUSTRY,,C; D; E; F,,blank,517.055369374768,,610.1529191235712,,632.4103514307662,,616.463546304404,,651.1103859415616,,657.668854201549,,671.298490447088,,669.2734197988656,,652.6114866549791,,631.3410853479605,,648.2488502237939,,686.5533199642744,,687.2832667383091,,697.6921036814337,,678.4786275744698,,728.5557636703185,,735.4096290149761,,790.0137349005638,,949.1629404846327,,1095.7281859512427,,1225.0949502967123,,1324.0899590658792,,1302.7267747733415,,1262.366624159479,,1310.2836170806004,,1418.4791767153056,,1434.3051224488047,,1462.043977883808,,1472.0104468865593,,1650.3494356813294,,1681.408287764835,,1860.5756524870662,,1786.3823839553136,,1790.7157883151406,,2065.1968865898493,,2200.019244907413,,2270.941031673426,,2916.716481632521,,3263.539426214095,,2931.332141252772,,2508.1649883423293,,2303.5473923269083,,2305.8032429101604,,2311.894343312651,,2196.310309955637,,2545.57533216355,,2577.402306615029,,2580.3702750152597,,2499.242754153492,,2231.522342820002,,2091.7157286847405,,1958.55641903524,,2166.3680422490647,,2198.462698854477,,2341.468425645974,,2455.632302508905,,2349.686299292556,,2257.414153308793,,2215.599970654086,,2138.8371872497933,,2210.43246331828,,2285.8637743251334,,2406.8877566212627,,2428.509133234681,,2663.9319704424247,,2786.520160105343,,2575.1411019843254,,2599.855884080694,,2680.888401608239,,2777.564521425754,,2829.6587086379327,,3068.066422195579,,3254.8587683145734,,2988.8956738275897,,2901.8543250428943,,3048.7774873144494,,3151.639678051747,,3383.725526743262,,3497.4995376321144,,,blank,,blank,,blank,,blank,,blank,,blank,9209.403601203534,,9948.491607604472,,10635.943555770396,,12790.83833500491,,16314.158172892894,,17260.819240534725,,22127.01026657646,,30049.850174470554,,34262.345943082655,,38799.20068816831,,38065.534884974615,,33284.47244928639,,26116.041747624946,,25283.56671829332,,24470.987003806695,,25216.901425014687,,29034.563478544394,,34644.06904887168,,32194.651313888535,,31116.049968204097,,20988.347593058086,,22431.279285012963,,22313.28380137254,,27072.865970509047,,27730.982409015338,,46210.53219042854,,83222.03248117301,,108549.44953001916,,138079.88044340734,,137907.84366780156,,144800.85425270596,,170105.3590172303,,168349.51058787765,,172702,,178129,,188310,,203134,,218670,,210590,,211495,,230899,,245262,,264015,,285447,,328129,,347763,,374544,,393920,,413795,,460479,,541536,,567923,,629172,,722093,,860354,,892004,,1011253,,1081591,,1140682,,1206040,,1266525,,1211282,,1325527,,1384270,,1456082,,1573269,,1625212,,1638169,,1757877,,1929303,,2053833,
40,,   MINING AND QUARRYING,,C,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
