year,foreignTradeValueAddedCurrentPrices,foreignTradeValueAddedCurrentPrices_state,domesticTradeValueAddedCurrentPrices,domesticTradeValueAddedCurrentPrices_state,maritimeShippingValueAddedCurrentPrices,maritimeShippingValueAddedCurrentPrices_state,internationalRiverShippingValueAddedCurrentPrices,internationalRiverShippingValueAddedCurrentPrices_state,railwaysValueAddedCurrentPrices,railwaysValueAddedCurrentPrices_state,inlandNavigationValueAddedCurrentPrices,inlandNavigationValueAddedCurrentPrices_state,otherTransportValueAddedCurrentPrices,otherTransportValueAddedCurrentPrices_state,communicationValueAddedCurrentPrices,communicationValueAddedCurrentPrices_state,bankingValueAddedCurrentPrices,bankingValueAddedCurrentPrices_state,insuranceValueAddedCurrentPrices,insuranceValueAddedCurrentPrices_state,governmentValueAddedCurrentPrices,governmentValueAddedCurrentPrices_state,educationValueAddedCurrentPrices,educationValueAddedCurrentPrices_state,remainingSocialServicesValueAddedCurrentPrices,remainingSocialServicesValueAddedCurrentPrices_state,domesticServantsValueAddedCurrentPrices,domesticServantsValueAddedCurrentPrices_state,cateringValueAddedCurrentPrices,cateringValueAddedCurrentPrices_state,housingValueAddedCurrentPrices,housingValueAddedCurrentPrices_state,servicesTotalValueAddedCurrentPrices,servicesTotalValueAddedCurrentPrices_state
1834,50.32044364893886,,24.568609412045213,,12.506030734172443,,2.626002504176501,,,blank,35.99387691013217,,12.179088155049756,,1.1356821033349918,,,blank,,blank,28.358113963439294,,,blank,,blank,,blank,,blank,23.785950921263503,,236.26335180141615,
1835,52.97786568918427,,24.845124312770373,,13.696811187687157,,2.7972304658615745,,,blank,33.0515507836456,,12.126960872181174,,1.1727909911786532,,,blank,,blank,21.01463014150222,,,blank,,blank,,blank,,blank,23.994999630002802,,228.4966088998803,
1836,60.241449085192045,,27.32767035555564,,14.231496684683876,,4.099731575290208,,,blank,46.38625138763736,,14.820895638670086,,1.1982410943687938,,,blank,,blank,21.01255300549884,,,blank,,blank,,blank,,blank,24.625034575033872,,262.5832575249931,
1837,57.07687136012989,,27.56360624606537,,15.43674450517075,,3.2984755668140675,,,blank,31.53579937931848,,12.505052455781465,,1.1809430104238394,,,blank,,blank,27.178245499863642,,,blank,,blank,,blank,,blank,24.888195194571054,,245.64207269911077,
1838,63.152382577663836,,28.57500634603157,,16.63250951929709,,3.6546727071941905,,,blank,37.23361979145965,,13.964394893057817,,1.1992575491059,,,blank,,blank,26.372770281761785,,,blank,,blank,,blank,,blank,25.134128022383578,,263.6361009114504,
1839,68.9012421679691,,34.32934585526941,,17.58895238048204,,3.017343838248945,,0.028679610703954774,,44.01785131486485,,15.764301074211389,,1.2060503594912941,,,blank,,blank,27.376913590996196,,,blank,,blank,,blank,,blank,25.5792402,,289.62851437264584,
1840,66.98451500900192,,35.28899746075348,,16.955806971861367,,2.4317654340456465,,0.11593594430697465,,35.05354413449401,,14.57075947594823,,1.1625812503548218,,4.309971281462041,,1.892017547608147,,23.16279405692867,,2.647235573072967,,12.214977527378617,,16.768948988885317,,9.835967779741436,,26.142197488749165,,269.5380159245928,
1841,65.32850694451533,,34.893155271099424,,16.916845619882334,,2.6420611538761314,,0.09029106555429524,,40.27010841303562,,15.130214988207543,,1.1869166903306334,,,blank,,blank,24.71915035466082,,,blank,,blank,,blank,,blank,26.46142603620513,,277.05061847511257,
1842,62.31301114828551,,32.40004680226224,,15.629042108433909,,2.3988657280711703,,0.14111621585310424,,34.72320005729128,,13.838719681775771,,1.1714378171976434,,,blank,,blank,25.942108791836596,,,blank,,blank,,blank,,blank,26.81869124853163,,262.6083077361869,
1843,55.75425469296308,,30.093741359302182,,17.330698197088235,,2.5531437515217803,,0.2832643458065368,,35.284785658567436,,12.826325442229992,,1.1010399963587734,,,blank,,blank,25.668417437832655,,,blank,,blank,,blank,,blank,27.172503486310028,,254.1687511553305,
1844,58.89536902494114,,34.14713031477557,,16.40207900742946,,2.130034907392306,,0.6780209994850199,,31.083938193386775,,13.293967519741628,,1.0918989445750162,,,blank,,blank,24.59739622902423,,,blank,,blank,,blank,,blank,27.521013656272018,,256.8151789449322,
1845,71.42177861165581,,37.780594029788155,,16.495073799031037,,2.4417463368526033,,0.9062196793624663,,30.316822578886015,,14.730892640225413,,1.1126223376963815,,,blank,,blank,16.73148803869654,,,blank,,blank,,blank,,blank,27.684708918008575,,269.29542718651527,
1846,74.32787878222342,,36.39951712224947,,16.547837574616747,,2.7469669140705633,,0.9698823902412803,,29.457193288226335,,14.463802291813481,,1.0871651948425562,,,blank,,blank,26.379348975797978,,,blank,,blank,,blank,,blank,27.691544351598168,,282.6483804420571,
1847,78.74481305897623,,43.617436853575235,,18.588798477609366,,3.137535180701225,,1.0418291311643604,,32.701741207194765,,15.905569058399381,,1.1023589253283728,,,blank,,blank,25.4412323359157,,,blank,,blank,,blank,,blank,27.786669378318145,,305.3478313965279,
1848,59.668290670512825,,32.571814511389874,,18.27354957999721,,2.0734593319259265,,1.0412722152360439,,30.502673793668215,,12.763461901077006,,1.0727049245116442,,,blank,,blank,26.168305061100245,,,blank,,blank,,blank,,blank,27.780909026156454,,261.3588929506801,
1849,59.33336020494407,,38.222437445350536,,18.576035713464247,,2.4434545477167706,,1.0600688352374272,,32.670599442132094,,13.76689461525614,,1.0534036306844017,,,blank,,blank,23.7059900656269,,,blank,,blank,,blank,,blank,27.772503156785056,,270.1404266524736,
1850,63.35233521438246,,41.110875,,18.559449055121284,,2.3859509158400005,,1.1913799999999999,,28.727999999999998,,13.9,,1.003625,,4.4,,2.6,,23.0035147898407,,2.7422332008984722,,13.4,,20.368939135110026,,9.2,,28.03981099850946,,273.9861133097024,
1851,64.22768934908898,,40.48391455715474,,13.609928888914817,,2.869773737175099,,1.175292892895673,,34.942061006574235,,,blank,1.0310549980607608,,,blank,,blank,22.67701690120704,,2.794548305460649,,,blank,22.299273310757297,,,blank,28.732548719758398,,279.3361172678266,
1852,66.28364801280242,,45.55135726527722,,17.176862917487075,,2.87336781168782,,1.2341994214176926,,36.86463191100902,,,blank,1.0723970820639046,,,blank,,blank,23.288701399650208,,3.0900213354605133,,,blank,23.296028844147404,,,blank,29.493435639773235,,297.81453813805507,
1853,69.96607539443954,,46.72453236569097,,11.036252603005899,,2.533730330239841,,1.2822607632328813,,28.81094560885198,,,blank,1.155494098684861,,,blank,,blank,23.571011357758245,,3.157289917773222,,,blank,24.71479583119184,,,blank,30.259097782847707,,289.64592875326605,
1854,75.56688502349532,,50.26560245398841,,14.255400424008407,,3.3647412898994244,,1.3413643070109271,,37.49115201319668,,,blank,1.247798230209788,,,blank,,blank,24.55327097954119,,3.2935879529063676,,,blank,24.254879289198104,,,blank,31.064565739781816,,317.8145059713401,
1855,74.96906968588405,,52.912521993814,,15.922224027050241,,3.084740271810853,,1.5806682127325145,,36.1069066133833,,,blank,1.2959435546809015,,,blank,,blank,25.039255269861407,,3.3476018343847698,,,blank,25.35995367549058,,,blank,31.909044564604258,,323.7695846592848,
1856,80.30002100771576,,61.73994747180701,,22.985510473640286,,3.1672921129829326,,1.8581472187271226,,36.39495968927095,,,blank,1.4329263714069234,,,blank,,blank,24.978408302652948,,3.409411906598887,,,blank,27.56938349622466,,,blank,32.739954580586556,,353.85728792594034,
1857,78.15882811597288,,62.381969406774076,,22.743054103727538,,3.1265303001643403,,2.120412644783694,,37.06525784502121,,,blank,1.523432197527308,,,blank,,blank,25.20379075819358,,3.3784170201232078,,,blank,28.684708377043272,,,blank,33.79287965406667,,355.9929196256099,
1858,62.64874558583614,,61.25044109801126,,23.953196595523952,,3.5561048520123877,,2.1701480424219364,,41.95788875039044,,,blank,1.528915500364741,,,blank,,blank,25.727538009333706,,3.8709205523363375,,,blank,28.619025041411568,,,blank,34.809948374245046,,346.5562288597354,
1859,58.69553879669075,,62.61820713426652,,17.92091961235531,,2.8165023998880576,,2.189724329756043,,31.648579255136514,,,blank,1.6671478564758382,,,blank,,blank,27.20446755604395,,3.7433032135606794,,,blank,28.032595405333552,,,blank,35.78435137112073,,325.53083304633367,
1860,64.76436100747516,,70.84399020858113,,18.84285462167365,,3.0896669352318655,,2.390468177809189,,31.4582140121,,,blank,1.7211630392901869,,,blank,,blank,27.012179038619166,,4.233845236076232,,,blank,27.649736834066676,,,blank,36.881680037223,,345.55331926491425,
1861,66.38514210106565,,81.20252702751561,,19.301465619286308,,3.9558070703144805,,2.597245832704899,,37.63013612299378,,,blank,1.80366026063222,,,blank,,blank,27.934470906701076,,4.554587265554109,,,blank,28.086464695071577,,,blank,37.931583458572014,,372.697333450481,
1862,72.86646047244693,,82.16351794099941,,17.726431156496933,,5.5169618073547655,,2.69938394230871,,52.68125053849102,,,blank,1.8891650396003776,,,blank,,blank,27.979199193991413,,4.767886583964161,,,blank,28.858382809571776,,,blank,39.126107674641084,,402.7471900380516,
1863,75.23943667708106,,97.69037521438068,,15.927808421576342,,3.9895688682296635,,2.9914758408042053,,42.351040991345684,,,blank,1.9838365893906091,,,blank,,blank,27.930232298332648,,4.945495952354319,,,blank,28.69655089907257,,,blank,40.355225333158906,,409.98762244569025,
1864,76.55446263713984,,123.68019225981924,,19.662905345041576,,3.31267837516181,,3.7090713566274656,,32.517209596435904,,,blank,2.029136934726588,,,blank,,blank,28.042181592889328,,4.946972618478964,,,blank,28.992750578542253,,,blank,41.77341582821741,,437.9769082481746,
1865,72.43849434265661,,108.94653277088342,,18.096471033956238,,4.0697213877108664,,4.189949722894477,,40.38541284293517,,,blank,2.1359731926468646,,,blank,,blank,28.854210511033102,,4.917624802970994,,,blank,29.27732264876953,,,blank,43.30549813257177,,427.9352293732498,
1866,76.66251775419364,,122.05986310001538,,14.047211940829968,,4.169822021507203,,4.667318773467252,,39.04638328313351,,,blank,2.1711603219142246,,,blank,,blank,31.37944662068625,,5.032620899086455,,,blank,28.667783149076076,,,blank,44.9647031571319,,447.7268641944228,
1867,71.20102651999963,,108.5540605580679,,15.93233891947158,,4.052096731870153,,5.7128944210162445,,35.51675287310867,,,blank,2.2563011646791518,,,blank,,blank,32.814695230439575,,5.228763554681685,,,blank,28.45488579650927,,,blank,46.793412810505934,,428.3709577577686,
1868,71.31174754054635,,100.18543431978615,,24.083838998750846,,4.336839082269356,,6.531392635689065,,36.1327403159173,,,blank,2.3674986957620083,,,blank,,blank,29.93462040079057,,5.3376057244097295,,,blank,27.914499107446257,,,blank,48.13439422984099,,428.35419123087337,
1869,74.54484193365911,,109.80390591209513,,18.854114699014172,,4.114790212486314,,7.161065464738889,,31.867809917625262,,,blank,2.4870459266978666,,,blank,,blank,29.76273998529981,,5.595263037560707,,,blank,27.72788172713568,,,blank,49.603783461465994,,434.95454560330495,
1870,73.73552369383115,,109.94066238558759,,13.28547217300621,,3.770632976676951,,7.83480415029629,,33.02187752724446,,,blank,2.622611055680007,,,blank,,blank,32.08107775837744,,5.87659570678866,,,blank,29.580949157682692,,,blank,51.325780905467646,,437.110174735395,
1871,74.29313481416754,,127.84872618691557,,13.100852912683553,,4.340713355307189,,8.759727015466858,,35.74297067530661,,,blank,2.3604259123672238,,,blank,,blank,31.11258991900171,,6.015486993811207,,,blank,29.636801018549935,,,blank,52.75421207195328,,464.97423200525094,
1872,94.86347165458227,,130.51221584483022,,13.848817708145923,,5.4101860229945045,,9.273373112962455,,43.42037791106822,,,blank,2.433008181719832,,,blank,,blank,32.85157046809936,,6.386801629218333,,,blank,32.34527757361825,,,blank,54.56967773924618,,513.4414442041874,
1873,108.53619008427579,,131.7608220097506,,13.445812785443437,,6.2885763158221275,,10.02360996771467,,47.18409425433259,,,blank,2.655072990467509,,,blank,,blank,33.71639930432378,,6.927367740070917,,,blank,32.671314336135566,,,blank,56.99127102313378,,543.0793771277326,
1874,93.28166329418885,,129.33066521102222,,9.912652697803933,,5.155194343034142,,10.369840447826352,,40.67134706544493,,,blank,2.5887048400436115,,,blank,,blank,33.85028585158364,,7.509637807090702,,,blank,33.73550357568881,,,blank,59.591010194476375,,514.2254544000218,
1875,96.21234299739011,,122.14239025610178,,8.43056718337361,,4.8347852732533125,,10.750105127486838,,33.79158810669978,,,blank,2.8350144249685547,,,blank,,blank,36.50067442729138,,8.168344089834333,,,blank,32.54390593550584,,,blank,60.807277451414095,,503.7240071576451,
1876,87.80873694122907,,113.83144873742899,,5.744155726060242,,5.5449157374382025,,11.128642517552347,,37.64351261238115,,,blank,3.108670372325043,,,blank,,blank,37.12909608188193,,9.002206468975103,,,blank,32.997322355684105,,,blank,65.15737903907144,,494.4890971876271,
1877,95.43990435918387,,110.18767778730528,,5.8432919782053725,,4.959376091230357,,11.505458386301804,,32.06721736924716,,,blank,3.2083028528726296,,,blank,,blank,39.25628863014435,,9.190538005206152,,,blank,32.87078036580724,,,blank,69.35363363005946,,500.61294192575554,
1878,88.33040505134018,,103.20040936027549,,5.316554145635582,,4.7314661111063545,,11.919937864222574,,26.399757691987045,,,blank,3.342276690942602,,,blank,,blank,39.256091679910085,,9.718708259331304,,,blank,34.59513138592061,,,blank,73.88365210414092,,484.9903528629336,
1879,82.69315200529007,,100.79560739124246,,4.43317327091429,,5.921238140048873,,12.889289141003555,,25.146365020967274,,,blank,3.6107369042117825,,,blank,,blank,38.592826720764336,,10.326552658174304,,,blank,34.85566895136198,,,blank,77.86809926567688,,481.0070574438887,
1880,92.94397045104425,,97.77660251824723,,4.86746090079329,,6.693985367626055,,14.130742801168672,,28.990720545202812,,,blank,3.837670072339008,,,blank,,blank,40.09230907534913,,11.518770431078218,,,blank,34.72300541834882,,,blank,82.4,,506.5979829268695,
1881,96.61475460496712,,95.24986663964107,,4.98841901400667,,7.113468920881732,,15.816386688318667,,27.767067622461397,,,blank,4.054462030913431,,,blank,,blank,41.14800375624772,,12.53680927866431,,,blank,34.80951827747522,,,blank,84.56612797430866,,515.0596563526859,
1882,98.45869959396602,,90.67465921529082,,5.903012097914955,,7.875417360161363,,16.872516385810634,,30.076893203012233,,,blank,4.260362720795277,,,blank,,blank,44.14011386288584,,13.447113221192392,,,blank,36.0566664190617,,,blank,87.88284853054043,,528.7454712448585,
1883,108.54541146779114,,95.96994704949883,,5.998890434125407,,5.120424223516701,,17.96416214631763,,17.659799819245414,,,blank,4.581353110186508,,,blank,,blank,43.35786110329111,,13.912290925341658,,,blank,35.998683687298026,,,blank,90.77461814649638,,534.25534780177,
1884,105.7915085414446,,95.06141948465294,,6.2559953299445015,,7.058511837154524,,18.17870411375222,,23.12907061702914,,,blank,4.742565597475585,,,blank,,blank,44.4218565109175,,14.745986145502828,,,blank,36.63641243310014,,,blank,91.922405860397,,544.4239496612673,
1885,98.50668461510205,,89.43850928845907,,3.84930254218705,,6.018454870382188,,17.9776956233457,,19.10324730391087,,,blank,4.879222670201058,,,blank,,blank,42.88798574638219,,14.882165617255048,,,blank,37.23038584006365,,,blank,93.21438689135346,,520.5323303884104,
1886,92.63444046756403,,88.30297893312752,,7.706673709773091,,4.873732521853157,,17.991950946206586,,15.549201539938622,,,blank,5.11791429083957,,,blank,,blank,43.212002825385795,,14.89347274826439,,,blank,38.00813342339438,,,blank,94.45408876991553,,514.5153395128835,
1887,99.50933963502806,,96.76476556160709,,4.943533636359207,,6.8595383646439,,18.713479048649624,,21.40941375210668,,,blank,5.3274298201360875,,,blank,,blank,44.36815582946834,,15.263239192648347,,,blank,37.45575826804445,,,blank,95.472729401053,,543.3073756642256,
1888,101.0475960194285,,96.9854319454347,,5.830931390918424,,8.983741027270897,,19.528332857314766,,26.161764022703636,,,blank,5.725653461363208,,,blank,,blank,44.205778104078966,,15.275189889495085,,,blank,37.9444833433034,,,blank,96.69541217787899,,558.6785623324319,
1889,113.245140001713,,97.63253649851568,,7.212808484487682,,7.817795425319839,,20.17332683201133,,25.78525527028357,,,blank,5.911097320281683,,,blank,,blank,45.26356402323382,,15.317621110185142,,,blank,38.245980034325115,,,blank,98.88057363642189,,579.9326049515709,
1890,117.24187613886981,,104.13215794699542,,8.003344931006797,,10.826938769640895,,21.382854999999996,,31.329930809966456,,43.8,,6.161817,,9,,4,,44.746134204985104,,15.826221096679438,,32.5,,38.452976860249954,,20.6,,100.23662374299914,,608.240876501393,
1891,120.92935919324601,,108.11433531963458,,8.869604841180244,,10.065232424685691,,22.060913933336895,,28.704584398239685,,,blank,6.450669922077533,,,blank,,blank,46.69985978549384,,16.187621632459198,,,blank,39.82581232152196,,,blank,101.45204012294323,,623.364285056256,
1892,117.08748663911565,,97.91900488335439,,8.739338007147586,,7.541059179897723,,22.022938318220252,,20.688856343938053,,,blank,6.522596073093817,,,blank,,blank,47.893813316070705,,16.53810450894397,,,blank,41.98366852025023,,,blank,102.66298142466202,,600.819077479819,
1893,109.75213349603213,,101.722949973912,,6.502236389094011,,10.183465379228906,,23.11275632168004,,25.52792822028138,,,blank,6.71233409416433,,,blank,,blank,47.90890298692833,,17.4213152646323,,,blank,42.92948005810483,,,blank,103.1597304610739,,609.0489325293161,
1894,111.09235233376104,,96.50377421716816,,7.267686369870969,,9.035667452722628,,23.471691442543264,,21.65469464067759,,,blank,6.9369287253598175,,,blank,,blank,48.45902031830572,,18.03061562134848,,,blank,44.358501261648655,,,blank,104.3231652192791,,606.0756598817126,
1895,109.76904270869,,93.56224933647316,,7.26499078801756,,10.033224908227,,25.122183444605902,,26.686058751290034,,,blank,7.184951299968202,,,blank,,blank,48.54358080851242,,19.002268674413482,,,blank,45.66931215782065,,,blank,104.9763526802784,,616.0750417661914,
1896,120.90205583393828,,93.86087611869026,,7.575442448529698,,9.310933302551772,,25.932777458313947,,24.073273702206937,,,blank,7.61363796337522,,,blank,,blank,47.77321427856996,,19.441498511741894,,,blank,49.329162573268164,,,blank,106.92690195467186,,636.3874441593027,
1897,124.60551827206558,,99.61751482815592,,7.630202865026103,,6.395510368649145,,26.909855487624938,,16.211224910509486,,,blank,8.095241575909037,,,blank,,blank,48.309126854481946,,20.36503865324821,,,blank,49.120611413165626,,,blank,106.08675580466074,,639.0172858670562,
1898,140.73228477788865,,99.30544526771224,,10.798524302321905,,8.154872666861774,,27.446426230789907,,19.852072840353657,,,blank,8.558346368845637,,,blank,,blank,49.52473446871997,,21.09657692238077,,,blank,50.057792866221966,,,blank,108.05166301719774,,678.6738119095619,
1899,130.62665106603416,,103.00939890215403,,11.192952768154711,,10.533100719620663,,29.345722584612215,,25.65046663651507,,,blank,9.028016432019,,,blank,,blank,51.44524085539371,,21.806241689215113,,,blank,50.21835751427579,,,blank,110.33157215834635,,692.7676840296938,
1900,136.0666808550816,,114.24901935226086,,13.686636713897288,,8.689015296145271,,30.436683682547805,,22.713960778270618,,,blank,9.555845905462311,,,blank,,blank,54.534244659178825,,22.84007631733743,,,blank,52.45385556078253,,,blank,112.70148169374201,,725.980604595386,
