observation,period_start,period_end,concept,value,unit,literal_state,territory_version,population_universe,reference_time,source,locator
observation:dg1c:bel-marriages-quetelet-1803-1829-le-royaume-1803-1813-average,1803,1813,marriage,24479,events,,territory-version:belgium:quetelet-marriages-1803-1829:statistical,source-defined-unresolved,,source:quetelet-1832-population-belgium,printed p.23 / PDF p.33; exact row/cell: Le royaume / Nombre moyen des mariages de 1803 a 1813
observation:dg1c:bel-marriages-quetelet-1803-1829-le-royaume-1815-1824-average,1815,1824,marriage,25966,events,,territory-version:belgium:quetelet-marriages-1803-1829:statistical,source-defined-unresolved,,source:quetelet-1832-population-belgium,printed p.23 / PDF p.33; exact row/cell: Le royaume / Nombre moyen des mariages de 1815 a 1824
observation:dg1c:bel-marriages-quetelet-1803-1829-le-royaume-1825-1829-average,1825,1829,marriage,28076,events,,territory-version:belgium:quetelet-marriages-1803-1829:statistical,source-defined-unresolved,,source:quetelet-1832-population-belgium,printed p.23 / PDF p.33; exact row/cell: Le royaume / Nombre moyen des mariages de 1825 a 1829
