observation,period_start,period_end,concept,value,unit,literal_state,territory_version,population_universe,reference_time,source,locator
observation:dg1c:fr-sgf-t87-female-births-1800-1810,1800-09-23,1810,live-birth,4445531,events,,territory-version:france:sgf-t87-births:1800-1820:statistical,source-defined-unresolved,,source:insee-sgf-france-historical-1800-1925,"_T87!G9; variable V8; vital-label workbook Feuil1 rows 365-366; exact row/cell: _T87 FRANCE row 9, G9 (V8)"
observation:dg1c:fr-sgf-t87-female-births-1811-1820,1811,1820,live-birth,4561665,events,,territory-version:france:sgf-t87-births:1800-1820:statistical,source-defined-unresolved,,source:insee-sgf-france-historical-1800-1925,"_T87!K9; variable V12; vital-label workbook Feuil1 rows 369-370; exact row/cell: _T87 FRANCE row 9, K9 (V12)"
observation:dg1c:fr-sgf-t87-male-births-1800-1810,1800-09-23,1810,live-birth,4735124,events,,territory-version:france:sgf-t87-births:1800-1820:statistical,source-defined-unresolved,,source:insee-sgf-france-historical-1800-1925,"_T87!F9; variable V7; vital-label workbook Feuil1 rows 365-366; exact row/cell: _T87 FRANCE row 9, F9 (V7)"
observation:dg1c:fr-sgf-t87-male-births-1811-1820,1811,1820,live-birth,4867521,events,,territory-version:france:sgf-t87-births:1800-1820:statistical,source-defined-unresolved,,source:insee-sgf-france-historical-1800-1925,"_T87!J9; variable V11; vital-label workbook Feuil1 rows 369-370; exact row/cell: _T87 FRANCE row 9, J9 (V11)"
